key,ID,Auscultation_Point,gt_y,gt_str,step1_yhat,fused_min_yhat,pcg_yhat,ecg_yhat,step1_correct,fused_correct,winner
90||MV,90,MV,1,low_quality,1,1,1,2,True,True,both_correct
48||TV,48,TV,2,uncertain,0,0,0,0,False,False,both_wrong
99||MV,99,MV,1,low_quality,1,1,1,1,True,True,both_correct
60||PV,60,PV,1,low_quality,2,0,0,1,False,False,both_wrong
54||PV,54,PV,1,low_quality,2,0,1,0,False,False,both_wrong
193||TV,193,TV,2,uncertain,2,0,0,0,True,False,step1_only
161||AV,161,AV,1,low_quality,1,0,0,0,True,False,step1_only
86||TV,86,TV,1,low_quality,1,1,1,1,True,True,both_correct
90||TV,90,TV,1,low_quality,1,1,1,1,True,True,both_correct
166||PV,166,PV,2,uncertain,2,2,2,2,True,True,both_correct
167||PV,167,PV,2,uncertain,0,0,2,0,False,False,both_wrong
22||AV,22,AV,1,low_quality,1,1,1,2,True,True,both_correct
70||TV,70,TV,1,low_quality,1,1,1,1,True,True,both_correct
3||TV,3,TV,2,uncertain,2,0,0,0,True,False,step1_only
31||AV,31,AV,1,low_quality,2,1,1,1,False,True,fusion_only
6||AV,6,AV,0,high_quality,1,0,0,0,False,True,fusion_only
6||MV,6,MV,0,high_quality,1,0,0,0,False,True,fusion_only
38||MV,38,MV,2,uncertain,0,0,1,0,False,False,both_wrong
160||TV,160,TV,0,high_quality,0,0,0,0,True,True,both_correct
36||PV,36,PV,2,uncertain,0,0,0,1,False,False,both_wrong
4||AV,4,AV,2,uncertain,0,0,0,0,False,False,both_wrong
21||TV,21,TV,0,high_quality,0,0,0,1,True,True,both_correct
99||TV,99,TV,1,low_quality,1,1,1,1,True,True,both_correct
24||AV,24,AV,2,uncertain,1,0,0,2,False,False,both_wrong
14||MV,14,MV,0,high_quality,1,0,0,0,False,True,fusion_only
150||TV,150,TV,2,uncertain,1,1,2,1,False,False,both_wrong
9||AV,9,AV,2,uncertain,0,0,0,2,False,False,both_wrong
89||MV,89,MV,1,low_quality,1,1,1,1,True,True,both_correct
16||PV_2,16,PV_2,0,high_quality,0,0,0,0,True,True,both_correct
155||AV,155,AV,2,uncertain,0,0,0,0,False,False,both_wrong
96||MV,96,MV,1,low_quality,1,1,1,1,True,True,both_correct
29||MV,29,MV,2,uncertain,2,1,1,1,True,False,step1_only
152||MV,152,MV,0,high_quality,0,0,0,0,True,True,both_correct
163||AV_2,163,AV_2,1,low_quality,1,0,0,2,True,False,step1_only
58||AV,58,AV,1,low_quality,1,1,2,1,True,True,both_correct
39||MV,39,MV,2,uncertain,0,1,2,1,False,False,both_wrong
148||TV,148,TV,2,uncertain,0,0,0,2,False,False,both_wrong
86||AV,86,AV,1,low_quality,1,1,1,1,True,True,both_correct
172||AV_2,172,AV_2,0,high_quality,2,0,0,0,False,True,fusion_only
28||TV,28,TV,1,low_quality,2,0,0,1,False,False,both_wrong
2||MV,2,MV,2,uncertain,2,0,0,0,True,False,step1_only
81||AV,81,AV,1,low_quality,1,1,1,1,True,True,both_correct
78||PV,78,PV,1,low_quality,1,1,1,2,True,True,both_correct
29||AV,29,AV,2,uncertain,2,1,1,2,True,False,step1_only
46||AV,46,AV,1,low_quality,1,0,0,1,True,False,step1_only
69||TV,69,TV,1,low_quality,1,1,1,2,True,True,both_correct
100||AV,100,AV,1,low_quality,2,0,1,0,False,False,both_wrong
179||MV,179,MV,2,uncertain,0,0,1,0,False,False,both_wrong
49||PV,49,PV,2,uncertain,0,0,0,0,False,False,both_wrong
15||TV,15,TV,1,low_quality,2,0,0,0,False,False,both_wrong
44||AV,44,AV,1,low_quality,2,0,0,0,False,False,both_wrong
84||PV,84,PV,2,uncertain,1,0,0,1,False,False,both_wrong
87||MV,87,MV,1,low_quality,1,1,1,1,True,True,both_correct
98||TV,98,TV,1,low_quality,2,1,1,2,False,True,fusion_only
168||PV,168,PV,2,uncertain,1,1,2,1,False,False,both_wrong
56||PV,56,PV,2,uncertain,1,0,1,0,False,False,both_wrong
3||MV,3,MV,2,uncertain,2,0,0,0,True,False,step1_only
22||MV,22,MV,0,high_quality,0,0,0,2,True,True,both_correct
67||MV,67,MV,1,low_quality,1,1,1,1,True,True,both_correct
24||PV,24,PV,2,uncertain,1,0,0,1,False,False,both_wrong
17||PV,17,PV,0,high_quality,0,0,0,1,True,True,both_correct
162||TV,162,TV,2,uncertain,0,0,0,0,False,False,both_wrong
27||MV,27,MV,1,low_quality,2,1,1,1,False,True,fusion_only
28||MV,28,MV,1,low_quality,1,1,1,2,True,True,both_correct
89||PV,89,PV,1,low_quality,1,1,1,2,True,True,both_correct
83||TV,83,TV,1,low_quality,1,1,1,1,True,True,both_correct
164||AV_2,164,AV_2,2,uncertain,1,2,2,2,False,True,fusion_only
11||MV,11,MV,0,high_quality,0,0,0,0,True,True,both_correct
159||PV,159,PV,0,high_quality,0,0,2,0,True,True,both_correct
